location
Azalea Town
Bell Tower
Berry Forest
Birth Island
Blackthorn City
Bond Bridge
Boon Island
Brine Road (East)
Brine Road (West)
Burned Tower
Celadon City
Celadon City Black Market
Celadon Sewers
Cerulean Cape
Cerulean Cave
Cerulean City
Cherrygrove City
Chrono Island
Cinnabar Island
Creepy House
Crimson City
Dark Cave
Deep Sea 
Diglett's Cave
Ecruteak City
Fuchsia City
Goldenrod City
Hidden Forest
Ice Mountains
Ice Mountains Peak
Ilex Forest
Indigo Plateau
Joyful Game Corner
Kin Island
Kindle Road
Knot Island
Lake of Rage
Lavendar Town
Mahogany Town
Mt. Ember
Mt. Moon
Mt. Moon Square
Mt. Mortar
Mt. Silver
Mt. Silver base
Mt. Silver Summit
National Park
Navel Rock
New Bark Town
Offshore Road
Old Shipwreck
P2 Laboratory
Pallet Town
Pewter City
Pokemon League Gate
Pokemon Mansion
Pokemon Tower
Power Plant
Resort Gorgeous
Rock Tunnel
Rocket Warehouse
Route 1
Route 2 B.VF (Before the Viridian Forest)
Route 2 A.VF (After the Viridian Forest)
Route 3
Route 4
Route 5
Route 6
Route 7
Route 8
Route 9
Route 10 B.RT (Before Rock Tunnel)
Route 10 A.RT (After Rock Tunnel)
Route 11
Route 12
Route 13
Route 14
Route 15
Route 16
Route 17
Route 18
Route 19
Route 20
Route 21
Route 22
Route 23
Route 24
Route 25
Route 26
Route 27
Route 29
Route 30
Route 31
Route 32
Route 33
Route 34
Route 35
Route 36
Route 37
Route 42
Route 43
Route 44
Route 46
Ruby Chamber
Ruins of Alph
S.S. Anne
Safari Zone
Safari Zone (Area 1)
Safari Zone (Area 2)
Safari Zone (Area 3)
Safari Zone (Area 4)
Safari Zone (Area 5)
Safari Zone Temple
Saffron City
Sapphire Cave
Seafoam Islands
Secret Garden
Sevii Islands
Silph Co. Head Office
Sky Pillar
Submerged Temple
Tohjo Falls
Treasure Beach
Triple Battle Lounge
Underground Paths
Union Cave
Vermillion City
Victory Road
Violet City
Viridian City
Viridian Forest
Viridian River
Water Labyrinth
